AMA_AGE_COD;AMA_NRS_TOP;AMA_AGE_LIB;TEC_COL
1000;1;Nourrisson 0 mois;0
1001;1;Nourrisson 1 mois;0
1002;1;Nourrisson 2 mois;0
1003;1;Nourrisson 3 mois;0
1004;1;Nourrisson 4 mois;0
1005;1;Nourrisson 5 mois;0
1006;1;Nourrisson 6 mois;0
1007;1;Nourrisson 7 mois;0
1008;1;Nourrisson 8 mois;0
1009;1;Nourrisson 9 mois;0
1010;1;Nourrisson 10 mois;0
1011;1;Nourrisson 11 mois;0
1012;1;Nourrisson 12 mois;0
1013;1;Nourrisson 13 mois;0
1014;1;Nourrisson 14 mois;0
1015;1;Nourrisson 15 mois;0
1016;1;Nourrisson 16 mois;0
1017;1;Nourrisson 17 mois;0
1018;1;Nourrisson 18 mois;0
1019;1;Nourrisson 19 mois;0
1020;1;Nourrisson 20 mois;0
1021;1;Nourrisson 21 mois;0
1022;1;Nourrisson 22 mois;0
1023;1;Nourrisson 23 mois;0
2;0;2 ans;0
3;0;3 ans;0
4;0;4 ans;0
5;0;5 ans;0
6;0;6 ans;0
7;0;7 ans;0
8;0;8 ans;0
9;0;9 ans;0
10;0;10 ans;0
11;0;11 ans;0
12;0;12 ans;0
13;0;13 ans;0
14;0;14 ans;0
15;0;15 ans;0
16;0;16 ans;0
17;0;17 ans;0
18;0;18 ans;0
19;0;19 ans;0
20;0;20 ans;0
21;0;21 ans;0
22;0;22 ans;0
23;0;23 ans;0
24;0;24 ans;0
25;0;25 ans;0
26;0;26 ans;0
27;0;27 ans;0
28;0;28 ans;0
29;0;29 ans;0
30;0;30 ans;0
31;0;31 ans;0
32;0;32 ans;0
33;0;33 ans;0
34;0;34 ans;0
35;0;35 ans;0
36;0;36 ans;0
37;0;37 ans;0
38;0;38 ans;0
39;0;39 ans;0
40;0;40 ans;0
41;0;41 ans;0
42;0;42 ans;0
43;0;43 ans;0
44;0;44 ans;0
45;0;45 ans;0
46;0;46 ans;0
47;0;47 ans;0
48;0;48 ans;0
49;0;49 ans;0
50;0;50 ans;0
51;0;51 ans;0
52;0;52 ans;0
53;0;53 ans;0
54;0;54 ans;0
55;0;55 ans;0
56;0;56 ans;0
57;0;57 ans;0
58;0;58 ans;0
59;0;59 ans;0
60;0;60 ans;0
61;0;61 ans;0
62;0;62 ans;0
63;0;63 ans;0
64;0;64 ans;0
65;0;65 ans;0
66;0;66 ans;0
67;0;67 ans;0
68;0;68 ans;0
69;0;69 ans;0
70;0;70 ans;0
71;0;71 ans;0
72;0;72 ans;0
73;0;73 ans;0
74;0;74 ans;0
75;0;75 ans;0
76;0;76 ans;0
77;0;77 ans;0
78;0;78 ans;0
79;0;79 ans;0
80;0;80 ans;0
81;0;81 ans;0
82;0;82 ans;0
83;0;83 ans;0
84;0;84 ans;0
85;0;85 ans;0
86;0;86 ans;0
87;0;87 ans;0
88;0;88 ans;0
89;0;89 ans;0
90;0;90 ans;0
91;0;91 ans;0
92;0;92 ans;0
93;0;93 ans;0
94;0;94 ans;0
95;0;95 ans;0
96;0;96 ans;0
97;0;97 ans;0
98;0;98 ans;0
99;0;99 ans;0
100;0;100 ans;0
101;0;101 ans;0
102;0;102 ans;0
103;0;103 ans;0
104;0;104 ans;0
105;0;105 ans;0
106;0;106 ans;0
107;0;107 ans;0
108;0;108 ans;0
109;0;109 ans;0
110;0;110 ans;0
111;0;111 ans;0
112;0;112 ans;0
113;0;113 ans;0
114;0;114 ans;0
115;0;115 ans;0
116;0;116 ans;0
117;0;117 ans;0
118;0;118 ans;0
119;0;119 ans;0
120;0;120 ans;0
121;0;121 ans;0
122;0;122 ans;0
123;0;123 ans;0
124;0;124 ans;0
125;0;125 ans;0
126;0;126 ans;0
127;0;127 ans;0
128;0;128 ans;0
129;0;129 ans;0
130;0;130 ans;0
9999;1;Valeur inconnue;1
0;2;Par défaut;2
